ECCENTRICITY,INCLINATION,MEAN_MOTION_DOT
0.0001272,53.1598,-0.0001551
0.0001089,53.1598,0.0012329
9.09e-05,53.1601,-0.01509327
0.00014,53.1597,4.777e-05
0.0001196,53.1599,0.00022207
0.0001531,53.1588,-0.01643216
0.0001193,53.1598,0.00043348
0.0001235,53.1597,-0.01518245
0.0001137,53.1597,-0.00180681
0.0001034,53.1599,-0.00249365
0.0001218,53.1596,1.962e-05
0.0001053,53.1597,-0.01507563
0.0001401,53.1596,0.0001721
0.0001327,53.1596,0.0006743
0.0001365,53.1596,2.024e-05
0.0001319,53.1595,0.00025426
0.0001265,53.1597,0.00012217
0.0001293,53.1596,0.00113387
0.000121,53.1596,0.000481
0.0001026,53.1601,-0.01507588
0.000132,53.1596,0.00015617
0.0001213,53.1596,0.00023602
0.7988891,11.1698,-1.1e-06
0.7905305,11.0838,-1.13e-06
0.8010187,11.4595,-1.9e-06
0.7941964,11.2306,-1.15e-06
0.8276721,12.4013,2.122e-05
0.0011216,54.9977,0.00026438
0.0011216,54.9977,0.00026438
0.0008714,55.2214,0.00121032
0.0001324,42.9989,2.6e-05
0.0001499,43.0013,1.065e-05
0.0002683,42.9996,1.637e-05
8.49e-05,42.9999,-2.9e-07
0.0001785,43.0,0.00019527
0.0001599,43.0,-0.00034529
0.0001834,42.9961,5.513e-05
0.000241,42.9952,-0.00049694
0.0001579,42.9926,-0.01113913
0.0006907,42.9923,-0.00219341
0.0001824,42.9918,0.00030235
0.00014,42.9919,-0.00010368
0.0002061,42.9922,0.00030872
0.0001627,42.9995,-0.00742559
0.000153,42.9994,-0.00702161
0.0001514,42.9995,-0.00701948
0.0001547,42.9995,-0.0070258
0.0001547,42.9995,-0.00750807
0.000154,42.9994,-0.00702266
0.0001538,42.9995,-0.00702682
0.0001629,42.9996,-0.00750586
0.7658322,20.3998,-2.97e-06
0.7974052,26.6957,5.5e-07
0.0056414,10.2296,-3.57e-06
0.7355958,28.5374,0.0003385
0.0001273,43.0009,-0.01422736
0.000123,43.0009,-0.01416448
0.0001251,43.0009,-0.01416734
0.0001239,43.001,-0.0141756
0.0001245,43.0009,-0.01415536
0.0001249,43.0009,-0.01415883
0.0001215,43.0009,-0.01416505
0.0001245,43.001,-0.01416727
0.0001246,43.001,-0.01415464
0.0001339,43.0009,-0.01421563
0.0001253,43.001,-0.01415823
0.000125,43.001,-0.01416529
0.0001263,43.001,-0.01416312
0.0001247,43.001,-0.01416061
0.0001212,43.0009,-0.01416029
0.000138,43.0009,-0.01420217
0.0001331,43.0009,-0.01415945
0.0001292,43.0008,-0.0141424
0.0001358,43.0008,-0.01840845
0.0001418,42.9996,-0.00021112
0.000124,43.0008,-0.01452665
0.0001291,43.001,-0.01415434
0.0001396,43.0009,-0.01422438
0.0001282,43.0009,-0.01414105
0.0001247,42.9992,0.00030485
0.0001794,43.0001,2.55e-06
0.0001424,43.0018,-0.00100564
0.0001905,43.0043,-0.00335705
0.0001772,43.006,-0.01023994
0.0003417,43.0057,-0.00098299
0.0001741,43.0059,0.00135157
0.0001948,43.006,0.0006369
0.0001505,43.0057,0.0002599
0.0001466,43.0055,0.00033859
0.0001871,43.0047,-0.00844898
0.0001774,43.0058,0.00132942
0.0002279,43.0062,0.00038439
0.0001292,43.0004,-0.01358039
0.0001231,43.0004,-0.01351096
0.0001266,43.0004,-0.01349376
0.0001402,43.0004,-0.01349252
0.0001348,42.9996,-0.01358012
0.0001198,42.9997,-0.01355434
0.0001561,42.9998,-0.01355157
0.0001299,42.9999,-0.0135145
0.0001377,43.0015,0.00051705
0.0001556,43.0011,-0.000279
0.0001458,43.0018,-0.00036981
0.0001442,43.0039,-0.00020471
0.0001873,43.0046,-0.00537342
5.66e-05,43.0051,-0.00089437
0.0001789,43.0057,-0.01091088
0.0001329,43.0054,0.00013951
0.0001474,43.0056,0.00010216
0.0001379,43.0057,0.0004761
0.0001632,43.0056,0.00015305
0.0002003,43.0058,0.00015094
0.0001576,43.0052,-6.889e-05
0.0001421,43.0012,-0.0138883
0.0001501,43.0011,-0.01395624
0.0001273,43.0012,-0.01395375
0.0001503,43.0011,-0.01394926
0.000138,43.0011,-0.01393849
0.0001553,43.0012,-0.01387532
0.0001018,43.0011,-0.01461209
0.0001574,43.0011,-0.01391543
0.0010625,54.9845,4.286e-05
0.0018142,54.9795,2.273e-05
0.0016261,54.9857,2.214e-05
0.0014505,54.9816,4.748e-05
0.0009562,54.9862,3.31e-05
0.0014408,54.9771,4.896e-05
0.0015648,54.9777,3.764e-05
0.0014854,54.9837,3.704e-05
0.0009018,54.9818,3.198e-05
0.0012271,54.9823,4.334e-05
0.0012156,54.9822,4.289e-05
0.0280859,54.9411,0.00532972
0.0001556,43.002,-6.683e-05
0.000195,43.0051,-9.766e-05
0.0001834,43.0067,-0.01098604
0.0001797,43.0072,-0.00397876
0.000138,43.0071,-9.633e-05
0.000102,43.0075,0.00140294
0.0001344,43.0074,0.00061709
0.0001129,43.0062,-0.00157511
0.0001991,43.0073,0.00034502
0.0001561,43.0067,0.00076175
0.0001499,43.0065,0.00092608
0.0001402,43.0058,0.00027726
0.0001486,43.0063,0.00032468
0.0001451,43.0038,-0.00907458
0.0001402,43.0036,-0.00848563
0.0001226,43.0036,-0.00795802
0.0001497,43.0037,-0.00731047
0.0001203,43.0035,-0.00667835
0.0001534,43.0035,-0.00544684
0.000121,43.0037,-0.00480186
0.0001365,43.0034,-0.00443044
0.96084,35.04,-0.00032
0.96509,35.17,-0.00038243
0.96084,35.04,-0.00032
0.96509,35.17,-0.00038243
0.4887822,30.005,-8.8e-07
0.0008651,97.4801,0.00015225
0.0008977,97.48,8.86e-05
0.0008584,97.4803,0.00014221
0.0008655,97.4804,0.00029549
0.0013763,97.6083,0.00019886
0.0013705,97.6089,8.074e-05
0.001368,97.6104,0.00011196
0.0013691,97.6083,9.77e-05
0.0013758,97.6099,9.021e-05
0.0001614,43.0096,-0.00969203
0.0001778,43.0095,-0.00977735
0.0001801,43.0096,-0.00994367
0.0001673,43.0095,-0.00985023
0.0001829,43.0095,-0.01009102
0.0001802,43.0094,-0.01016508
0.000176,43.0095,-0.01021852
0.0001637,43.0094,-0.01035239
0.000179,43.0093,-0.01040855
0.0001682,43.0094,-0.01060788
0.0001684,43.0092,-0.01049728
0.0001628,43.009,-0.01080354
0.0001733,43.009,-0.01069078
0.0001779,43.009,-0.01089574
0.0001343,43.0089,-0.01094335
0.0001755,43.0091,-0.01128534
0.0001669,43.0091,-0.01137386
0.0001663,43.0091,-0.01154082
0.0001845,43.0091,-0.01155368
0.0001644,43.0092,-0.01168425
0.0001837,43.0093,-0.01180337
0.0002755,43.0107,0.00125442
0.000207,43.0097,0.00136304
4.95e-05,53.1608,-0.00463619
6.66e-05,53.1618,-0.00717803
7.05e-05,53.1617,-0.00721499
8.81e-05,53.1618,-0.00734215
6.77e-05,53.1619,-0.00734381
4.09e-05,53.1618,-0.00734668
5.7e-05,53.1619,-0.00737041
7.63e-05,53.1619,-0.00742644
4.1e-05,53.1619,-0.00748235
7.77e-05,53.162,-0.00747927
6.41e-05,53.1619,-0.00754129
7.33e-05,53.1619,-0.00762615
6.55e-05,53.1619,-0.00769355
7.92e-05,53.162,-0.00762364
5.09e-05,53.1621,-0.00769253
7.12e-05,53.1622,-0.00775186
6.12e-05,53.162,-0.00773922
6.69e-05,53.1621,-0.00776876
6.48e-05,53.1623,-0.00784423
5.59e-05,53.1623,-0.00782854
4.79e-05,53.1623,-0.00790335
5.86e-05,53.1623,-0.00787349
6.46e-05,53.1622,-0.00791341
7.69e-05,53.1622,-0.00797343
3.06e-05,53.1623,-0.00800937
4.53e-05,53.1621,-0.00800789
5.54e-05,53.1621,-0.00799725
0.7305768,28.4771,2.27e-06
0.7240991,28.4582,0.00063749
